sex,length,diameter,shuckedweight,shellweight,class
I,0.345,0.27,0.082,0.07,7
I,0.33,0.25,0.0655,0.06,7
F,0.595,0.455,0.5135,0.3,12
F,0.575,0.46,0.4485,0.345,15
M,0.6,0.495,0.485,0.34,15
M,0.56,0.45,0.3835,0.37,15
M,0.545,0.46,0.341,0.345,10
F,0.635,0.505,0.605,0.365,15
F,0.59,0.475,0.4775,0.295,13
F,0.54,0.475,0.394,0.26,11
M,0.53,0.42,0.319,0.245,11
I,0.245,0.195,0.0445,0.026,4
M,0.27,0.2,0.0465,0.04,6
F,0.46,0.38,0.3,0.16,11
M,0.47,0.39,0.2185,0.255,9
F,0.45,0.36,0.2035,0.17,13
F,0.64,0.525,0.4535,0.55,22
M,0.59,0.5,0.412,0.37,16
M,0.655,0.54,0.7425,0.585,22
F,0.66,0.53,0.493,0.49,12
M,0.61,0.5,0.532,0.69,18
M,0.635,0.525,0.55,0.43,20
F,0.515,0.425,0.2665,0.25,11
F,0.535,0.415,0.314,0.3,15
I,0.36,0.285,0.0915,0.075,7
F,0.455,0.355,0.177,0.15,9
M,0.485,0.395,0.2285,0.225,14
M,0.53,0.435,0.288,0.205,10
F,0.495,0.4,0.242,0.205,17
M,0.44,0.355,0.132,0.19,9
M,0.54,0.435,0.3835,0.325,17
M,0.61,0.475,0.428,0.315,15
F,0.565,0.455,0.342,0.35,19
M,0.6,0.495,0.384,0.375,26
I,0.295,0.215,0.049,0.04,6
I,0.275,0.205,0.045,0.035,6
M,0.49,0.395,0.2215,0.15,11
F,0.54,0.435,0.322,0.335,13
M,0.37,0.28,0.1065,0.074,8
M,0.36,0.27,0.0885,0.0715,6
F,0.47,0.36,0.182,0.15,10
I,0.165,0.12,0.007,0.005,3
M,0.645,0.515,0.471,0.535,13
M,0.55,0.41,0.2505,0.195,14
M,0.57,0.435,0.3925,0.275,10
F,0.63,0.485,0.4635,0.39,21
M,0.56,0.44,0.443,0.265,14
M,0.595,0.455,0.4595,0.345,19
F,0.62,0.47,0.381,0.435,23
M,0.63,0.485,0.4335,0.46,23
I,0.45,0.355,0.194,0.14,8
F,0.635,0.535,0.576,0.39,14
M,0.45,0.35,0.1465,0.12,10
F,0.58,0.455,0.315,0.32,18
I,0.33,0.255,0.066,0.06,6
I,0.265,0.21,0.0425,0.03,5
I,0.19,0.145,0.0165,0.015,4
I,0.265,0.205,0.039,0.035,5
M,0.335,0.265,0.0935,0.075,7
I,0.355,0.275,0.097,0.08,7
M,0.51,0.4,0.27,0.205,12
F,0.4,0.325,0.134,0.095,8
I,0.3,0.22,0.0475,0.035,5
I,0.235,0.175,0.0335,0.02,5
F,0.74,0.6,0.598,0.71,16
M,0.59,0.45,0.473,0.425,16
M,0.62,0.475,0.6045,0.33,13
M,0.575,0.455,0.581,0.3,14
F,0.62,0.51,0.4775,0.48,14
F,0.505,0.375,0.2325,0.17,12
F,0.46,0.425,0.3005,0.24,8
I,0.34,0.26,0.08,0.055,6
M,0.61,0.48,0.56,0.28,14
F,0.61,0.495,0.536,0.245,8
F,0.585,0.45,0.3325,0.27,22
M,0.58,0.455,0.408,0.22,9
M,0.635,0.515,0.509,0.34,16
M,0.7,0.58,0.7415,0.58,20
F,0.645,0.525,0.7035,0.395,18
M,0.745,0.585,0.9265,0.7,17
F,0.685,0.545,0.7495,0.485,16
M,0.605,0.49,0.48,0.35,18
F,0.65,0.525,0.61,0.445,20
F,0.6,0.48,0.4085,0.295,16
M,0.63,0.515,0.4215,0.355,19
M,0.58,0.465,0.4405,0.265,11
F,0.58,0.455,0.479,0.265,10
M,0.63,0.49,0.458,0.315,12
F,0.65,0.545,0.6645,0.415,16
F,0.66,0.565,0.692,0.5,16
F,0.68,0.58,0.585,0.6,19
F,0.7,0.575,0.5095,0.42,14
M,0.685,0.52,0.4635,0.4,13
F,0.675,0.545,0.6845,0.605,20
F,0.585,0.45,0.4995,0.25,10
F,0.61,0.495,0.3705,0.33,12
M,0.605,0.47,0.3755,0.385,15
M,0.535,0.42,0.33,0.25,10
M,0.47,0.375,0.226,0.195,12
F,0.455,0.37,0.216,0.135,9
M,0.54,0.42,0.3515,0.215,12
M,0.46,0.38,0.207,0.145,10
M,0.49,0.42,0.239,0.22,14
I,0.415,0.325,0.1535,0.105,10
M,0.475,0.375,0.277,0.18,10
I,0.365,0.295,0.1075,0.08,9
I,0.39,0.31,0.116,0.115,11
F,0.5,0.395,0.3165,0.24,10
M,0.535,0.44,0.256,0.26,12
M,0.585,0.455,0.4355,0.31,11
F,0.485,0.365,0.27,0.175,9
M,0.515,0.455,0.295,0.235,9
F,0.515,0.415,0.3115,0.2,10
I,0.44,0.345,0.1655,0.11,7
F,0.525,0.44,0.3685,0.24,12
M,0.45,0.355,0.2125,0.15,8
M,0.555,0.45,0.4,0.285,11
M,0.57,0.44,0.3395,0.235,8
M,0.59,0.5,0.4565,0.34,15
M,0.545,0.44,0.3475,0.24,12
F,0.605,0.495,0.528,0.39,14
F,0.62,0.47,0.3605,0.36,15
F,0.63,0.5,0.5595,0.4,20
M,0.63,0.515,0.488,0.45,20
M,0.545,0.41,0.223,0.235,13
I,0.49,0.38,0.2165,0.155,11
F,0.49,0.39,0.2465,0.2,13
I,0.29,0.225,0.036,0.035,8
I,0.26,0.2,0.037,0.03,6
M,0.58,0.45,0.425,0.32,13
F,0.61,0.485,0.3935,0.33,18
F,0.575,0.45,0.3775,0.385,18
F,0.57,0.45,0.38,0.295,18
M,0.6,0.47,0.4375,0.325,20
I,0.44,0.345,0.122,0.12,13
I,0.36,0.275,0.084,0.09,7
I,0.385,0.305,0.0915,0.09,14
M,0.39,0.3,0.143,0.085,9
M,0.5,0.415,0.249,0.25,13
I,0.335,0.26,0.0785,0.07,8
F,0.505,0.425,0.275,0.285,19
I,0.395,0.295,0.134,0.085,10
F,0.41,0.325,0.159,0.12,10
F,0.56,0.455,0.283,0.275,9
M,0.565,0.435,0.329,0.39,13
M,0.565,0.455,0.354,0.375,16
M,0.605,0.5,0.4765,0.375,12
F,0.565,0.455,0.365,0.26,18
M,0.725,0.565,0.6975,0.58,16
F,0.675,0.535,0.592,0.42,16
F,0.565,0.49,0.405,0.255,11
F,0.645,0.55,0.57,0.33,14
M,0.575,0.47,0.3485,0.24,11
F,0.64,0.54,0.51,0.39,15
I,0.36,0.28,0.0695,0.08,9
I,0.415,0.31,0.123,0.0995,10
F,0.525,0.41,0.293,0.235,11
M,0.38,0.285,0.115,0.075,11
I,0.255,0.195,0.0255,0.025,6
F,0.67,0.55,0.5425,0.4,12
M,0.655,0.53,0.567,0.41,13
F,0.68,0.55,0.5975,0.625,17
M,0.675,0.555,0.545,0.465,21
F,0.515,0.405,0.2895,0.177,10
F,0.545,0.415,0.272,0.2765,10
F,0.465,0.35,0.1565,0.1345,9
M,0.665,0.54,0.4955,0.415,17
M,0.735,0.59,0.637,0.58,21
M,0.66,0.545,0.5305,0.455,16
F,0.7,0.585,0.7055,0.475,29
M,0.575,0.4,0.3605,0.3,17
M,0.57,0.465,0.3785,0.24,15
M,0.63,0.48,0.4235,0.305,12
M,0.55,0.45,0.378,0.29,11
F,0.625,0.515,0.5235,0.36,15
F,0.57,0.455,0.44,0.285,14
M,0.59,0.455,0.475,0.285,14
M,0.58,0.46,0.357,0.29,13
M,0.655,0.53,0.486,0.415,15
M,0.625,0.5,0.5875,0.37,17
F,0.64,0.52,0.4245,0.48,12
F,0.615,0.525,0.427,0.345,11
M,0.555,0.45,0.3275,0.305,10
F,0.62,0.52,0.378,0.395,23
F,0.62,0.47,0.378,0.36,15
F,0.6,0.505,0.4385,0.36,13
M,0.56,0.46,0.3325,0.305,12
M,0.585,0.455,0.3815,0.365,15
M,0.56,0.435,0.36,0.25,11
F,0.455,0.35,0.221,0.135,10
F,0.49,0.38,0.249,0.21,10
M,0.31,0.22,0.061,0.045,6
F,0.275,0.195,0.031,0.025,5
M,0.27,0.195,0.0385,0.03,6
M,0.28,0.2,0.033,0.03,5
M,0.325,0.23,0.06,0.045,4
I,0.365,0.26,0.0935,0.07,9
M,0.2,0.14,0.0145,0.01,5
M,0.235,0.16,0.0265,0.015,4
M,0.175,0.125,0.0095,0.005,4
F,0.57,0.445,0.282,0.235,14
F,0.57,0.45,0.3965,0.26,12
M,0.385,0.3,0.0885,0.085,9
F,0.46,0.355,0.192,0.13,13
I,0.47,0.37,0.1845,0.155,12
F,0.435,0.335,0.1695,0.11,9
M,0.29,0.23,0.043,0.04,7
M,0.275,0.205,0.0335,0.0325,5
F,0.375,0.29,0.093,0.0885,10
F,0.5,0.375,0.242,0.179,15
F,0.44,0.355,0.1585,0.131,11
M,0.42,0.325,0.1,0.1135,15
M,0.445,0.35,0.1565,0.117,8
M,0.32,0.245,0.0585,0.049,11
M,0.205,0.155,0.017,0.0155,7
F,0.565,0.45,0.3605,0.23,12
I,0.555,0.425,0.3695,0.255,11
I,0.615,0.49,0.4145,0.345,13
I,0.48,0.37,0.2075,0.155,13
I,0.5,0.385,0.2605,0.16,10
I,0.525,0.405,0.3075,0.255,14
F,0.66,0.5,0.4585,0.37,12
F,0.66,0.53,0.519,0.44,13
I,0.52,0.4,0.267,0.22,13
F,0.44,0.34,0.148,0.1175,8
I,0.515,0.4,0.2705,0.17,13
F,0.475,0.35,0.1715,0.155,11
F,0.545,0.415,0.2795,0.2185,11
M,0.35,0.255,0.0705,0.06,10
I,0.435,0.33,0.1685,0.096,12
M,0.28,0.21,0.041,0.0345,7
F,0.41,0.32,0.165,0.0985,11
I,0.45,0.35,0.21,0.1275,16
F,0.57,0.44,0.3785,0.305,17
I,0.56,0.425,0.4005,0.26,10
F,0.585,0.435,0.4055,0.27,10
I,0.55,0.425,0.376,0.245,14
F,0.645,0.525,0.6615,0.435,19
F,0.41,0.305,0.1735,0.11,11
F,0.405,0.31,0.138,0.095,13
I,0.51,0.4,0.2865,0.235,13
F,0.37,0.29,0.111,0.075,9
I,0.525,0.41,0.3585,0.205,18
F,0.66,0.52,0.526,0.42,19
M,0.535,0.42,0.2575,0.24,12
F,0.55,0.43,0.2565,0.225,9
I,0.605,0.47,0.3385,0.32,13
I,0.605,0.495,0.369,0.36,12
I,0.535,0.42,0.398,0.25,17
F,0.385,0.315,0.1225,0.0835,10
F,0.39,0.3,0.1075,0.0865,13
I,0.47,0.345,0.2005,0.166,11
I,0.515,0.39,0.2,0.2235,12
M,0.345,0.27,0.078,0.059,9
M,0.35,0.265,0.0575,0.068,12
F,0.44,0.345,0.15,0.1515,12
M,0.325,0.24,0.0475,0.06,9
I,0.45,0.35,0.2085,0.1655,15
M,0.415,0.345,0.128,0.148,13
M,0.32,0.24,0.0655,0.049,7
M,0.31,0.225,0.0455,0.044,9
M,0.235,0.17,0.018,0.0195,7
M,0.345,0.255,0.06,0.054,10
I,0.485,0.38,0.2175,0.195,18
F,0.5,0.385,0.1795,0.17,17
I,0.465,0.36,0.214,0.14,15
F,0.38,0.305,0.1255,0.09,8
I,0.53,0.415,0.3845,0.265,21
I,0.475,0.365,0.223,0.1335,9
F,0.43,0.34,0.1555,0.1405,7
I,0.47,0.36,0.198,0.165,9
M,0.355,0.265,0.05,0.063,8
M,0.38,0.235,0.1055,0.08,7
I,0.44,0.345,0.1965,0.16,14
M,0.325,0.24,0.0795,0.05,7
I,0.62,0.485,0.4675,0.39,13
F,0.59,0.45,0.358,0.315,19
M,0.33,0.215,0.045,0.035,6
M,0.48,0.375,0.216,0.17,9
I,0.46,0.35,0.193,0.155,11
F,0.475,0.36,0.1695,0.14,9
I,0.47,0.35,0.1845,0.145,11
M,0.31,0.225,0.054,0.05,7
F,0.37,0.28,0.0945,0.075,10
M,0.295,0.215,0.05,0.04,7
F,0.555,0.435,0.336,0.295,17
F,0.615,0.515,0.4305,0.42,16
I,0.58,0.49,0.5305,0.41,18
F,0.585,0.475,0.4145,0.33,11
I,0.65,0.525,0.597,0.53,18
F,0.38,0.305,0.1045,0.09,12
I,0.45,0.355,0.1145,0.16,19
F,0.395,0.295,0.078,0.08,10
M,0.455,0.35,0.1815,0.16,11
F,0.485,0.38,0.2155,0.18,15
M,0.55,0.425,0.2775,0.335,13
M,0.475,0.385,0.235,0.215,14
F,0.5,0.38,0.2405,0.205,17
F,0.53,0.41,0.24,0.24,19
F,0.49,0.385,0.241,0.24,23
F,0.52,0.395,0.158,0.245,22
M,0.54,0.415,0.2635,0.245,12
F,0.5,0.375,0.185,0.19,11
F,0.45,0.38,0.25,0.265,23
I,0.37,0.275,0.0885,0.07,7
F,0.435,0.325,0.154,0.12,7
M,0.535,0.405,0.3175,0.29,16
M,0.51,0.4,0.2455,0.185,10
M,0.565,0.44,0.344,0.255,15
M,0.525,0.4,0.279,0.195,11
M,0.59,0.44,0.366,0.295,11
M,0.5,0.375,0.2535,0.19,10
I,0.255,0.19,0.0345,0.025,5
M,0.38,0.29,0.1175,0.085,9
I,0.165,0.11,0.0065,0.005,4
M,0.385,0.285,0.1215,0.0875,12
F,0.48,0.385,0.1895,0.173,14
F,0.445,0.33,0.18,0.123,9
M,0.395,0.295,0.1205,0.1105,12
M,0.415,0.325,0.1535,0.144,10
M,0.315,0.25,0.0615,0.0795,11
M,0.36,0.295,0.0895,0.1005,10
I,0.295,0.225,0.0405,0.032,7
I,0.325,0.25,0.0595,0.063,7
M,0.375,0.3,0.104,0.083,11
I,0.28,0.205,0.045,0.0335,7
M,0.35,0.255,0.08,0.063,9
I,0.275,0.2,0.0475,0.03,7
I,0.25,0.19,0.036,0.0245,6
I,0.18,0.125,0.0095,0.0085,4
I,0.16,0.11,0.0065,0.005,3
M,0.555,0.44,0.416,0.4405,15
M,0.525,0.41,0.3865,0.295,15
M,0.465,0.36,0.191,0.155,11
M,0.4,0.305,0.108,0.1,10
F,0.48,0.375,0.2185,0.155,12
M,0.505,0.4,0.2735,0.255,13
M,0.52,0.4,0.298,0.265,15
M,0.505,0.38,0.227,0.22,13
M,0.525,0.425,0.2825,0.29,18
M,0.51,0.39,0.262,0.175,10
F,0.52,0.405,0.2415,0.21,12
M,0.535,0.41,0.2855,0.32,14
M,0.445,0.345,0.143,0.125,10
M,0.53,0.44,0.32,0.245,14
F,0.535,0.42,0.2785,0.215,14
F,0.66,0.52,0.673,0.45,17
M,0.52,0.385,0.2485,0.16,9
M,0.535,0.42,0.301,0.28,14
M,0.695,0.515,0.578,0.39,15
F,0.51,0.39,0.187,0.195,13
F,0.605,0.46,0.347,0.315,13
F,0.58,0.455,0.369,0.275,13
M,0.65,0.515,0.5295,0.525,20
M,0.62,0.505,0.69,0.35,13
M,0.615,0.525,0.367,0.37,20
F,0.605,0.495,0.469,0.41,15
M,0.585,0.405,0.435,0.325,15
F,0.55,0.44,0.313,0.335,16
M,0.64,0.51,0.6215,0.47,14
F,0.61,0.47,0.403,0.32,14
F,0.59,0.445,0.3825,0.32,13
M,0.345,0.27,0.0665,0.07,9
F,0.53,0.425,0.3485,0.278,17
F,0.53,0.455,0.3155,0.2965,11
M,0.385,0.275,0.0975,0.085,8
M,0.455,0.34,0.1675,0.12,9
M,0.49,0.38,0.245,0.185,10
M,0.53,0.41,0.189,0.31,11
M,0.505,0.385,0.236,0.2,15
M,0.49,0.38,0.2305,0.195,13
F,0.47,0.36,0.1725,0.195,15
M,0.515,0.435,0.292,0.255,10
I,0.385,0.28,0.102,0.085,6
I,0.215,0.155,0.021,0.015,5
F,0.515,0.39,0.1975,0.1845,9
M,0.495,0.385,0.211,0.262,12
F,0.6,0.465,0.309,0.262,12
F,0.485,0.375,0.1925,0.1685,10
M,0.575,0.45,0.3275,0.256,12
M,0.58,0.465,0.315,0.3635,12
M,0.515,0.405,0.215,0.234,15
M,0.53,0.41,0.2805,0.214,11
M,0.44,0.335,0.157,0.122,9
F,0.425,0.345,0.125,0.117,11
M,0.46,0.34,0.1655,0.185,10
I,0.37,0.275,0.094,0.065,7
M,0.515,0.38,0.2875,0.155,10
I,0.28,0.205,0.041,0.03,6
F,0.48,0.4,0.2125,0.24,15
F,0.44,0.34,0.153,0.13,10
F,0.52,0.41,0.2855,0.235,12
M,0.505,0.405,0.2665,0.285,12
I,0.235,0.175,0.027,0.018,6
I,0.255,0.185,0.0365,0.023,5
I,0.315,0.24,0.071,0.0535,7
I,0.325,0.25,0.0765,0.049,7
I,0.35,0.27,0.075,0.062,6
I,0.35,0.25,0.0655,0.054,6
I,0.37,0.275,0.097,0.0615,6
I,0.38,0.275,0.086,0.0605,7
I,0.385,0.29,0.143,0.086,6
I,0.385,0.3,0.1215,0.09,7
I,0.395,0.29,0.138,0.082,7
I,0.4,0.31,0.13,0.094,6
I,0.41,0.325,0.208,0.106,6
I,0.415,0.32,0.175,0.109,7
M,0.415,0.305,0.156,0.091,6
I,0.425,0.325,0.1185,0.0945,6
I,0.44,0.365,0.2435,0.1465,9
I,0.445,0.335,0.2745,0.1105,7
I,0.445,0.325,0.1795,0.089,7
I,0.45,0.35,0.245,0.1405,8
M,0.47,0.375,0.266,0.169,8
I,0.485,0.355,0.2175,0.1525,9
F,0.495,0.41,0.3355,0.214,9
M,0.5,0.4,0.27,0.166,9
M,0.505,0.44,0.3415,0.239,8
M,0.525,0.395,0.3375,0.225,8
M,0.54,0.405,0.4815,0.202,9
F,0.54,0.42,0.369,0.21,11
F,0.545,0.44,0.429,0.2375,10
M,0.55,0.45,0.407,0.2875,10
F,0.55,0.45,0.362,0.2765,10
M,0.565,0.45,0.4735,0.265,10
M,0.57,0.455,0.3895,0.2745,9
M,0.57,0.435,0.349,0.194,10
F,0.575,0.465,0.442,0.2705,9
M,0.59,0.46,0.455,0.33,12
F,0.595,0.48,0.498,0.33,10
F,0.595,0.48,0.5225,0.32,8
F,0.595,0.475,0.547,0.271,6
F,0.595,0.465,0.5175,0.305,12
M,0.6,0.475,0.549,0.36,11
F,0.6,0.475,0.653,0.3205,10
M,0.6,0.495,0.606,0.3445,11
M,0.605,0.455,0.421,0.325,9
F,0.615,0.5,0.5585,0.292,12
F,0.615,0.52,0.629,0.345,10
M,0.615,0.51,0.545,0.32,9
M,0.615,0.505,0.5315,0.41,12
F,0.62,0.505,0.6285,0.3685,11
M,0.62,0.5,0.6355,0.315,9
F,0.625,0.49,0.465,0.411,11
F,0.625,0.49,0.5895,0.381,11
M,0.635,0.51,0.619,0.39,9
F,0.635,0.5,0.6495,0.31,10
F,0.635,0.485,0.668,0.2715,9
F,0.64,0.51,0.7595,0.321,8
M,0.65,0.525,0.675,0.399,11
M,0.655,0.52,0.586,0.405,9
M,0.66,0.52,0.755,0.4,10
F,0.675,0.525,0.628,0.42,9
F,0.68,0.56,0.861,0.415,11
F,0.695,0.56,0.8455,0.455,11
I,0.24,0.175,0.031,0.017,3
I,0.265,0.195,0.0345,0.0245,6
I,0.28,0.12,0.0455,0.0345,4
I,0.295,0.23,0.065,0.0385,5
I,0.3,0.235,0.05,0.043,4
I,0.3,0.23,0.056,0.037,6
I,0.305,0.22,0.062,0.037,5
I,0.315,0.235,0.0585,0.0425,6
I,0.32,0.24,0.07,0.0425,5
I,0.325,0.24,0.0825,0.05,6
I,0.335,0.25,0.0945,0.0445,7
I,0.34,0.25,0.0665,0.045,5
I,0.34,0.25,0.104,0.055,7
I,0.37,0.29,0.1045,0.067,6
I,0.37,0.28,0.1505,0.0795,7
I,0.375,0.28,0.084,0.055,6
I,0.41,0.305,0.157,0.1,7
I,0.41,0.31,0.1635,0.091,6
I,0.42,0.32,0.169,0.1,5
I,0.42,0.315,0.157,0.09,6
I,0.425,0.315,0.1645,0.105,6
I,0.43,0.325,0.1575,0.105,7
I,0.435,0.325,0.1815,0.1125,8
I,0.435,0.34,0.1825,0.1145,6
I,0.44,0.345,0.209,0.134,6
I,0.44,0.325,0.148,0.105,7
F,0.445,0.335,0.2025,0.1195,6
I,0.455,0.355,0.225,0.1465,7
F,0.465,0.35,0.23,0.1095,6
M,0.47,0.365,0.327,0.14,8
F,0.47,0.365,0.29,0.146,8
M,0.475,0.37,0.222,0.15,9
F,0.475,0.36,0.3245,0.127,6
M,0.48,0.375,0.3205,0.17,6
M,0.48,0.365,0.312,0.14,7
F,0.485,0.37,0.1995,0.129,7
M,0.49,0.385,0.32,0.1695,8
M,0.495,0.395,0.3035,0.1495,8
M,0.495,0.4,0.272,0.144,7
I,0.5,0.385,0.2835,0.135,8
M,0.5,0.385,0.3195,0.1535,7
M,0.5,0.4,0.336,0.1825,7
F,0.505,0.39,0.3165,0.1785,9
I,0.505,0.355,0.25,0.185,8
M,0.51,0.39,0.3935,0.19,8
I,0.51,0.405,0.3655,0.18,7
M,0.51,0.405,0.347,0.1885,8
M,0.51,0.41,0.3865,0.1955,8
F,0.515,0.43,0.367,0.23,8
M,0.515,0.39,0.3695,0.155,7
