age,workclass,fnlwgt,education,education+AC0-num,marital+AC0-status,occupation,relationship,race,sex,capital+AC0-gain,capital+AC0-loss,hours+AC0-per+AC0-week,native+AC0-country
36,Local+AC0-gov,403681,Bachelors,13,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,0,40,United+AC0-States
22,Private,248446,5th+AC0-6th,3,Never+AC0-married,Priv+AC0-house+AC0-serv,Not+AC0-in+AC0-family,White,Male,0,0,50,Guatemala
17,Private,269430,10th,6,Never+AC0-married,Machine+AC0-op+AC0-inspct,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
20,Private,257509,HS+AC0-grad,9,Never+AC0-married,Craft+AC0-repair,Own+AC0-child,White,Male,0,0,40,United+AC0-States
65,Private,136384,Masters,14,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,0,50,United+AC0-States
44,Self+AC0-emp+AC0-inc,120277,Assoc+AC0-voc,11,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,45,United+AC0-States
36,Private,465326,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Farming+AC0-fishing,Husband,White,Male,0,0,40,United+AC0-States
29,Private,103634,11th,7,Married+AC0-civ+AC0-spouse,Other+AC0-service,Husband,White,Male,0,0,40,United+AC0-States
20,State+AC0-gov,138371,Some+AC0-college,10,Never+AC0-married,Farming+AC0-fishing,Own+AC0-child,White,Male,0,0,32,United+AC0-States
28,Private,242832,Assoc+AC0-voc,11,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Wife,White,Female,0,0,36,United+AC0-States
39,Private,290208,7th+AC0-8th,4,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,40,Mexico
54,Private,186272,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Transport+AC0-moving,Husband,White,Male,3908,0,50,United+AC0-States
52,Private,201062,11th,7,Separated,Priv+AC0-house+AC0-serv,Not+AC0-in+AC0-family,Black,Female,0,0,18,United+AC0-States
56,Self+AC0-emp+AC0-inc,131916,HS+AC0-grad,9,Widowed,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Female,0,0,50,United+AC0-States
18,Private,54440,Some+AC0-college,10,Never+AC0-married,Other+AC0-service,Own+AC0-child,White,Male,0,0,20,United+AC0-States
39,Private,280215,HS+AC0-grad,9,Divorced,Handlers+AC0-cleaners,Own+AC0-child,Black,Male,0,0,40,United+AC0-States
21,Private,214399,Some+AC0-college,10,Never+AC0-married,Other+AC0-service,Own+AC0-child,White,Female,0,1721,24,United+AC0-States
22,Private,54164,HS+AC0-grad,9,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,White,Male,14084,0,60,United+AC0-States
38,Private,219446,9th,5,Married+AC0-spouse+AC0-absent,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Male,0,0,54,Mexico
21,Private,110677,Some+AC0-college,10,Never+AC0-married,Adm+AC0-clerical,Own+AC0-child,White,Female,0,0,40,United+AC0-States
63,Private,145985,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,40,United+AC0-States
34,Local+AC0-gov,382078,Bachelors,13,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,3103,0,50,United+AC0-States
42,Self+AC0-emp+AC0-inc,170721,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,5178,0,50,United+AC0-States
33,Private,269705,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Handlers+AC0-cleaners,Husband,White,Male,0,0,40,United+AC0-States
30,Private,101135,Bachelors,13,Never+AC0-married,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Female,0,0,50,United+AC0-States
39,Private,118429,Some+AC0-college,10,Divorced,Sales,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
26,Private,31208,Masters,14,Never+AC0-married,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
33,Private,281384,HS+AC0-grad,9,Never+AC0-married,Machine+AC0-op+AC0-inspct,Own+AC0-child,White,Female,0,0,40,United+AC0-States
47,Local+AC0-gov,171807,HS+AC0-grad,9,Divorced,Adm+AC0-clerical,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
41,Private,109912,Bachelors,13,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,White,Female,0,0,40,
41,Self+AC0-emp+AC0-inc,445382,Assoc+AC0-acdm,12,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,15024,0,60,United+AC0-States
19,Private,105460,Some+AC0-college,10,Never+AC0-married,Other+AC0-service,Own+AC0-child,White,Male,0,0,20,United+AC0-States
46,Private,170338,HS+AC0-grad,9,Separated,Transport+AC0-moving,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
43,Private,102606,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,48,United+AC0-States
55,Private,323887,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,15024,0,45,United+AC0-States
46,Private,175622,Assoc+AC0-voc,11,Married+AC0-civ+AC0-spouse,Tech+AC0-support,Husband,White,Male,0,0,40,United+AC0-States
30,Private,229636,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,0,0,40,Mexico
21,Private,388946,Some+AC0-college,10,Separated,Handlers+AC0-cleaners,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
46,Private,269034,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,Other,Male,0,0,40,Dominican+AC0-Republic
17,,165361,10th,6,Never+AC0-married,,Own+AC0-child,White,Male,0,0,40,United+AC0-States
41,Private,75012,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,0,0,50,United+AC0-States
69,Self+AC0-emp+AC0-inc,174379,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,30,United+AC0-States
50,Private,312477,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Transport+AC0-moving,Husband,White,Male,0,0,40,United+AC0-States
20,Private,72055,Some+AC0-college,10,Never+AC0-married,Adm+AC0-clerical,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
45,Self+AC0-emp+AC0-inc,67001,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,0,0,50,United+AC0-States
23,Private,213734,Bachelors,13,Never+AC0-married,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
24,Private,83141,Some+AC0-college,10,Separated,Other+AC0-service,Not+AC0-in+AC0-family,White,Male,0,1876,40,United+AC0-States
44,Self+AC0-emp+AC0-inc,223881,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,99999,0,50,
31,Self+AC0-emp+AC0-not+AC0-inc,113752,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,50,United+AC0-States
43,Private,170482,HS+AC0-grad,9,Separated,Machine+AC0-op+AC0-inspct,Not+AC0-in+AC0-family,White,Female,0,0,44,United+AC0-States
20,Federal+AC0-gov,244689,11th,7,Never+AC0-married,Other+AC0-service,Own+AC0-child,White,Female,0,0,10,United+AC0-States
55,Private,160631,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,56,United+AC0-States
24,Federal+AC0-gov,228724,Some+AC0-college,10,Never+AC0-married,Armed+AC0-Forces,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
41,,38434,Masters,14,Married+AC0-civ+AC0-spouse,,Wife,White,Female,7688,0,10,United+AC0-States
59,Private,292946,Bachelors,13,Never+AC0-married,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Female,0,0,25,United+AC0-States
49,Federal+AC0-gov,77443,7th+AC0-8th,4,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,Black,Male,0,0,20,United+AC0-States
33,Private,176410,Masters,14,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Wife,White,Female,5178,0,10,United+AC0-States
59,Federal+AC0-gov,98984,Bachelors,13,Divorced,Adm+AC0-clerical,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
34,Private,198751,Masters,14,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,Amer+AC0-Indian+AC0-Eskimo,Male,0,0,40,United+AC0-States
20,Private,479296,HS+AC0-grad,9,Never+AC0-married,Handlers+AC0-cleaners,Own+AC0-child,White,Male,0,0,40,United+AC0-States
25,Private,235218,Bachelors,13,Never+AC0-married,Exec+AC0-managerial,Own+AC0-child,White,Female,0,0,40,United+AC0-States
49,Private,164877,10th,6,Married+AC0-civ+AC0-spouse,Farming+AC0-fishing,Husband,White,Male,0,0,40,United+AC0-States
59,Private,272087,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Transport+AC0-moving,Husband,White,Male,0,0,40,United+AC0-States
20,Private,169699,HS+AC0-grad,9,Never+AC0-married,Adm+AC0-clerical,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
51,,189762,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,,Wife,White,Female,0,0,18,United+AC0-States
33,Private,202191,Some+AC0-college,10,Never+AC0-married,Adm+AC0-clerical,Unmarried,Black,Female,0,0,35,United+AC0-States
22,Private,212261,Some+AC0-college,10,Never+AC0-married,Transport+AC0-moving,Own+AC0-child,Black,Male,0,0,39,United+AC0-States
58,Self+AC0-emp+AC0-not+AC0-inc,301568,9th,5,Widowed,Other+AC0-service,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
52,Local+AC0-gov,155233,HS+AC0-grad,9,Widowed,Adm+AC0-clerical,Unmarried,White,Female,0,0,28,United+AC0-States
36,Private,75826,10th,6,Separated,Machine+AC0-op+AC0-inspct,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
41,Local+AC0-gov,201520,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Protective+AC0-serv,Husband,White,Male,0,0,40,United+AC0-States
28,Private,154236,HS+AC0-grad,9,Never+AC0-married,Transport+AC0-moving,Own+AC0-child,White,Male,2597,0,40,United+AC0-States
19,Private,289227,Some+AC0-college,10,Never+AC0-married,Handlers+AC0-cleaners,Own+AC0-child,Black,Male,0,0,16,United+AC0-States
18,Private,217439,HS+AC0-grad,9,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,White,Female,0,0,28,United+AC0-States
18,Private,179020,HS+AC0-grad,9,Never+AC0-married,Machine+AC0-op+AC0-inspct,Own+AC0-child,White,Female,0,0,48,United+AC0-States
28,Private,149624,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,40,United+AC0-States
29,Private,337266,Assoc+AC0-voc,11,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,0,40,United+AC0-States
20,,30796,HS+AC0-grad,9,Never+AC0-married,,Own+AC0-child,White,Female,0,0,20,United+AC0-States
40,Private,103541,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Handlers+AC0-cleaners,Husband,White,Male,0,0,40,United+AC0-States
26,Private,206721,HS+AC0-grad,9,Never+AC0-married,Handlers+AC0-cleaners,Unmarried,White,Male,0,0,40,United+AC0-States
46,Private,96773,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,40,United+AC0-States
23,Private,200967,11th,7,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,White,Female,0,0,24,United+AC0-States
44,Private,180019,HS+AC0-grad,9,Married+AC0-spouse+AC0-absent,Adm+AC0-clerical,Unmarried,White,Female,0,0,40,United+AC0-States
43,Private,179866,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United+AC0-States
31,Local+AC0-gov,198770,Bachelors,13,Divorced,Prof+AC0-specialty,Unmarried,White,Female,0,0,60,United+AC0-States
18,Private,219256,Some+AC0-college,10,Never+AC0-married,Sales,Own+AC0-child,White,Female,0,0,25,United+AC0-States
19,Private,248730,Some+AC0-college,10,Never+AC0-married,Protective+AC0-serv,Own+AC0-child,White,Male,0,0,30,United+AC0-States
41,Private,110732,Some+AC0-college,10,Divorced,Tech+AC0-support,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
41,Private,181020,HS+AC0-grad,9,Divorced,Handlers+AC0-cleaners,Unmarried,White,Female,0,0,40,United+AC0-States
69,Private,183791,HS+AC0-grad,9,Divorced,Adm+AC0-clerical,Not+AC0-in+AC0-family,White,Female,0,0,25,United+AC0-States
48,Federal+AC0-gov,42972,Doctorate,16,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Wife,White,Female,0,0,40,United+AC0-States
28,Private,134813,HS+AC0-grad,9,Never+AC0-married,Prof+AC0-specialty,Own+AC0-child,White,Male,0,0,40,United+AC0-States
27,Self+AC0-emp+AC0-not+AC0-inc,115438,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,60,Ireland
41,Private,239296,Masters,14,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,2415,50,United+AC0-States
41,Private,428420,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Adm+AC0-clerical,Husband,White,Male,0,0,40,United+AC0-States
24,Private,247846,HS+AC0-grad,9,Never+AC0-married,Craft+AC0-repair,Unmarried,Black,Female,0,0,40,United+AC0-States
20,,334105,HS+AC0-grad,9,Never+AC0-married,,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
42,Self+AC0-emp+AC0-inc,100793,Doctorate,16,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,0,41,United+AC0-States
57,Private,244478,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,Black,Male,0,0,48,United+AC0-States
30,Private,142921,Assoc+AC0-acdm,12,Never+AC0-married,Prof+AC0-specialty,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
36,Private,182863,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,60,United+AC0-States
49,Private,171128,7th+AC0-8th,4,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,Black,Male,0,0,40,United+AC0-States
33,Private,145402,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Wife,White,Female,0,0,35,United+AC0-States
23,Private,306309,10th,6,Married+AC0-civ+AC0-spouse,Farming+AC0-fishing,Husband,White,Male,0,0,40,United+AC0-States
46,Private,83822,Masters,14,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,0,40,United+AC0-States
18,Private,262118,Some+AC0-college,10,Never+AC0-married,Adm+AC0-clerical,Own+AC0-child,Asian+AC0-Pac+AC0-Islander,Female,0,0,22,Germany
40,Private,155972,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,7688,0,55,United+AC0-States
43,Self+AC0-emp+AC0-inc,214503,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,1887,45,United+AC0-States
34,Private,159303,Masters,14,Never+AC0-married,Prof+AC0-specialty,Own+AC0-child,White,Female,0,0,30,United+AC0-States
47,Self+AC0-emp+AC0-not+AC0-inc,174995,HS+AC0-grad,9,Widowed,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Female,0,0,30,United+AC0-States
44,Private,26669,Assoc+AC0-voc,11,Widowed,Exec+AC0-managerial,Unmarried,White,Female,0,0,30,United+AC0-States
33,Private,177727,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,40,United+AC0-States
55,Private,124771,Bachelors,13,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,15024,0,50,United+AC0-States
19,Private,456736,HS+AC0-grad,9,Never+AC0-married,Sales,Not+AC0-in+AC0-family,White,Male,2907,0,30,United+AC0-States
28,Private,216604,Some+AC0-college,10,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,Black,Male,0,0,14,United+AC0-States
27,Private,221561,11th,7,Married+AC0-civ+AC0-spouse,Other+AC0-service,Wife,Black,Female,0,0,32,United+AC0-States
50,Private,114564,7th+AC0-8th,4,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,0,0,20,United+AC0-States
22,Private,315476,11th,7,Never+AC0-married,Craft+AC0-repair,Unmarried,White,Male,0,0,40,United+AC0-States
40,State+AC0-gov,67874,Bachelors,13,Married+AC0-civ+AC0-spouse,Adm+AC0-clerical,Husband,White,Male,0,1887,45,United+AC0-States
25,Private,126110,Some+AC0-college,10,Never+AC0-married,Adm+AC0-clerical,Own+AC0-child,White,Female,0,0,40,United+AC0-States
26,Local+AC0-gov,102264,HS+AC0-grad,9,Never+AC0-married,Craft+AC0-repair,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
22,Private,537222,Bachelors,13,Never+AC0-married,Sales,Not+AC0-in+AC0-family,White,Male,0,0,25,United+AC0-States
42,Private,113732,Some+AC0-college,10,Never+AC0-married,Handlers+AC0-cleaners,Unmarried,Black,Female,0,625,40,United+AC0-States
38,Self+AC0-emp+AC0-inc,93225,Bachelors,13,Divorced,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
55,Private,43064,11th,7,Married+AC0-civ+AC0-spouse,Other+AC0-service,Husband,White,Male,0,0,30,United+AC0-States
32,Private,136921,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,40,United+AC0-States
22,Private,388885,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,45,United+AC0-States
29,Private,142249,Bachelors,13,Never+AC0-married,Sales,Own+AC0-child,White,Male,0,0,40,United+AC0-States
46,State+AC0-gov,56841,Masters,14,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,0,45,United+AC0-States
31,Private,156493,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,0,40,United+AC0-States
58,Self+AC0-emp+AC0-not+AC0-inc,159021,Doctorate,16,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,0,16,United+AC0-States
42,Private,190910,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Craft+AC0-repair,Husband,White,Male,0,0,45,United+AC0-States
18,Private,41879,HS+AC0-grad,9,Never+AC0-married,Handlers+AC0-cleaners,Unmarried,White,Male,0,0,25,United+AC0-States
58,Local+AC0-gov,137249,HS+AC0-grad,9,Divorced,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Male,0,0,33,United+AC0-States
54,Private,236157,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Prof+AC0-specialty,Husband,White,Male,0,1887,40,United+AC0-States
34,Private,189759,Masters,14,Never+AC0-married,Prof+AC0-specialty,Not+AC0-in+AC0-family,White,Male,0,0,40,United+AC0-States
26,Private,239877,Bachelors,13,Never+AC0-married,Adm+AC0-clerical,Not+AC0-in+AC0-family,White,Female,0,0,40,United+AC0-States
61,Private,21175,12th,8,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,0,60,United+AC0-States
48,Local+AC0-gov,67229,Masters,14,Separated,Adm+AC0-clerical,Unmarried,Black,Female,0,0,40,United+AC0-States
36,Private,236391,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,0,45,United+AC0-States
24,Private,325596,Assoc+AC0-voc,11,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,0,0,45,United+AC0-States
40,Private,83411,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,0,0,37,United+AC0-States
33,Self+AC0-emp+AC0-inc,154227,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,Sales,Husband,White,Male,0,0,50,United+AC0-States
37,Private,248010,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Machine+AC0-op+AC0-inspct,Husband,White,Male,0,1887,40,United+AC0-States
34,Private,198613,Masters,14,Never+AC0-married,Exec+AC0-managerial,Own+AC0-child,White,Male,4650,0,40,United+AC0-States
56,Self+AC0-emp+AC0-inc,321529,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,15024,0,40,United+AC0-States
28,,168524,HS+AC0-grad,9,Married+AC0-civ+AC0-spouse,,Own+AC0-child,White,Female,0,0,38,United+AC0-States
37,Private,203079,Bachelors,13,Widowed,Exec+AC0-managerial,Not+AC0-in+AC0-family,White,Female,0,0,55,United+AC0-States
44,Private,284652,HS+AC0-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,40,United+AC0-States
64,,201368,Some+AC0-college,10,Married+AC0-civ+AC0-spouse,,Husband,White,Male,0,0,8,United+AC0-States
54,Private,59840,HS+AC0-grad,9,Divorced,Handlers+AC0-cleaners,Not+AC0-in+AC0-family,White,Male,0,0,45,United+AC0-States
23,Private,52753,HS+AC0-grad,9,Never+AC0-married,Machine+AC0-op+AC0-inspct,Not+AC0-in+AC0-family,White,Male,0,0,50,United+AC0-States
34,State+AC0-gov,513100,Bachelors,13,Married+AC0-spouse+AC0-absent,Farming+AC0-fishing,Not+AC0-in+AC0-family,Black,Male,0,0,40,
22,Private,199266,HS+AC0-grad,9,Never+AC0-married,Other+AC0-service,Not+AC0-in+AC0-family,White,Female,0,0,45,United+AC0-States
33,Private,196385,Bachelors,13,Married+AC0-civ+AC0-spouse,Exec+AC0-managerial,Husband,White,Male,0,1977,40,United+AC0-States
