sex,length,diameter,height,wholeweight,shuckedweight,visceraweight,shellweight
M,0.58,0.45,0.14,1013,0.38,216,0.36
F,0.57,465,0.18,1295,339,0.2225,0.44
F,0.46,355,0.13,517,0.2205,114,165
F,575,0.45,0.16,0.9775,0.3135,231,0.33
M,565,425,135,0.8115,341,0.1675,255
M,555,0.44,0.15,755,307,0.1525,0.26
M,595,465,175,1115,0.4015,254,0.39
M,695,0.56,0.19,1494,588,0.3425,485
M,665,535,195,1606,0.5755,388,0.48
M,535,435,0.15,725,269,0.1385,0.25
M,0.47,375,0.13,523,214,132,145
M,0.47,0.37,0.13,0.5225,201,133,165
M,0.55,435,145,843,328,0.1915,255
M,0.53,435,0.16,883,316,164,335
M,0.53,415,0.14,724,0.3105,0.1675,205
M,605,0.47,0.16,1.1735,0.4975,0.2405,345
F,0.52,0.41,155,727,291,0.1835,235
F,545,0.43,165,802,0.2935,183,0.28
F,0.5,0.4,125,0.6675,261,0.1315,0.22
F,0.51,0.39,135,0.6335,231,179,0.2
F,435,395,105,0.3635,136,98,0.13
M,495,395,125,0.5415,0.2375,0.1345,155
M,465,0.36,105,431,172,107,175
I,435,0.32,0.08,0.3325,0.1485,0.0635,105
M,425,0.35,105,393,0.13,63,165
F,545,0.41,125,0.6935,0.2975,146,0.21
F,0.53,415,115,0.5915,233,0.1585,0.18
F,0.49,375,135,0.6125,0.2555,102,0.22
F,0.56,0.43,0.15,0.8825,0.3465,172,0.31
M,405,305,85,0.2605,0.1145,0.0595,85
F,0.47,365,105,0.4205,163,0.1035,0.14
F,515,425,0.14,766,304,0.1725,255
M,0.37,265,75,214,0.09,51,0.07
I,0.36,0.28,0.08,0.1755,81,0.0505,0.07
I,0.27,195,0.06,73,0.0285,0.0235,0.03
M,0.7,535,0.16,1.7255,0.63,0.2635,0.54
M,0.71,0.54,165,1959,0.7665,261,0.78
F,0.44,0.35,125,0.4035,175,63,129
I,0.35,0.26,95,211,86,56,68
I,265,0.2,65,0.0975,0.04,0.0205,28
F,425,0.33,115,406,0.1635,81,0.1355
F,305,0.23,0.08,156,0.0675,0.0345,48
M,345,255,0.09,0.2005,94,0.0295,63
F,405,325,0.11,0.3555,151,63,117
M,375,285,95,253,96,0.0575,0.0925
F,565,445,155,826,341,0.2055,0.2475
F,0.55,0.45,145,741,295,0.1435,0.2665
M,0.65,0.52,0.19,1.3445,519,306,0.4465
M,0.56,455,155,797,0.34,0.19,0.2425
M,475,375,0.13,0.5175,0.2075,0.1165,0.17
F,0.49,0.38,125,549,245,0.1075,174
M,0.46,0.35,0.12,515,224,108,0.1565
I,0.17,0.13,95,0.03,13,8,0.01
M,0.59,475,145,1053,0.4415,262,325
F,635,515,0.19,1.3715,0.5065,305,0.45
F,605,485,0.16,1.0565,0.37,0.2355,355
F,565,0.45,135,0.9885,387,0.1495,0.31
M,515,405,0.13,722,0.32,131,0.21
F,575,0.46,0.19,994,392,0.2425,0.34
F,0.58,455,0.17,0.9075,374,0.2135,285
F,575,0.46,165,1124,0.2985,0.1785,0.44
F,605,485,0.16,1222,0.53,0.2575,0.28
F,725,0.56,0.21,2141,0.65,398,1005
F,0.65,545,0.23,1752,0.5605,0.2895,815
F,725,575,175,2124,765,0.4515,0.85
F,0.68,0.57,205,1842,625,408,0.65
F,0.68,515,175,1.6185,0.5125,409,0.62
M,695,0.55,215,1.9565,0.7125,541,0.59
F,0.53,395,145,775,308,169,255
M,525,435,155,1065,486,233,285
I,315,245,85,0.1435,53,0.0475,0.05
I,225,0.16,45,0.0465,25,15,15
M,0.57,0.48,0.18,0.9395,399,0.2,295
F,0.62,475,175,1.0165,0.4355,214,325
F,645,0.51,0.2,1.5675,621,367,0.46
M,0.62,0.49,0.19,1218,0.5455,0.2965,355
F,0.63,0.48,0.15,1.0525,392,336,285
F,0.63,0.48,0.16,1199,0.5265,335,315
I,355,275,85,0.22,92,0.06,0.15
F,0.51,0.4,0.14,0.8145,459,0.1965,195
M,0.5,405,155,772,346,0.1535,245
M,0.64,0.5,185,1.3035,0.4445,0.2635,465
M,585,0.46,185,922,0.3635,213,285
F,0.45,345,0.12,0.4165,0.1655,95,135
F,0.5,0.4,145,0.63,234,0.1465,0.23
M,0.42,335,115,369,171,71,0.12
F,0.44,0.34,0.14,482,186,0.1085,0.16
I,0.4,0.3,0.11,315,109,67,0.12
I,435,0.34,0.11,0.3795,0.1495,85,0.12
F,0.49,365,145,0.6345,0.1995,0.1625,0.22
M,335,0.25,0.09,181,0.0755,0.0415,0.06
F,415,325,105,0.38,0.1595,0.0785,0.12
M,0.5,405,0.14,0.6155,241,0.1355,205
M,0.55,405,0.14,0.8025,244,0.1635,255
M,0.45,0.35,0.13,0.46,174,111,135
M,0.47,0.36,135,501,0.1665,115,165
F,415,305,0.13,0.32,0.1305,0.0755,105
F,445,325,125,455,0.1785,0.1125,0.14
F,0.47,0.35,145,0.5175,187,0.1235,0.18
F,0.49,375,0.15,0.5755,0.22,144,0.19
F,0.5,0.37,135,0.45,0.1715,0.1055,155
F,0.39,0.29,125,0.3055,121,82,0.09
I,365,0.27,85,205,78,0.0485,0.07
F,0.58,465,165,1.1015,404,0.2095,0.35
F,0.53,415,0.16,783,0.2935,158,245
M,565,0.44,175,0.9025,0.31,193,325
M,625,505,215,1.4455,496,287,435
I,275,215,75,0.1155,0.0485,29,35
I,295,225,0.08,124,0.0485,32,0.04
I,0.13,0.1,0.03,13,0.0045,3,4
M,565,425,0.16,0.9425,0.3495,0.2185,275
I,0.27,0.2,0.07,0.1,34,0.0245,35
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04
I,0.33,255,85,0.1655,63,39,0.06
I,0.35,0.26,85,174,0.0705,0.0345,0.06
I,345,0.27,0.11,0.2135,82,0.0545,0.07
I,0.33,0.25,105,0.1715,0.0655,35,0.06
F,595,455,155,1.0605,0.5135,0.2165,0.3
F,575,0.46,185,1094,0.4485,217,345
M,0.6,495,165,1.2415,485,0.2775,0.34
M,0.56,0.45,175,1011,0.3835,0.2065,0.37
M,545,0.46,0.16,0.8975,341,0.1655,345
F,635,505,0.17,1415,605,297,365
F,0.59,475,0.16,1.1015,0.4775,0.2555,295
F,0.54,475,155,928,394,194,0.26
M,0.53,0.42,165,0.8945,319,239,245
I,245,195,0.06,95,0.0445,0.0245,26
M,0.27,0.2,0.08,0.1205,0.0465,28,0.04
F,0.46,0.38,0.13,639,0.3,0.1525,0.16
M,0.47,0.39,0.15,0.6355,0.2185,0.0885,255
F,0.45,0.36,125,0.4995,0.2035,0.1,0.17
F,0.64,525,215,1779,0.4535,0.2855,0.55
M,0.59,0.5,0.2,1187,412,0.2705,0.37
M,655,0.54,215,1844,0.7425,327,585
F,0.66,0.53,185,1.3485,493,245,0.49
M,0.61,0.5,0.24,1642,532,0.3345,0.69
M,635,525,205,1484,0.55,0.3115,0.43
F,515,425,135,712,0.2665,0.1605,0.25
F,535,415,185,0.8415,314,0.1585,0.3
I,0.36,285,105,0.2415,0.0915,57,75
F,455,355,0.12,0.4495,177,104,0.15
M,485,395,0.14,0.6295,0.2285,127,225
M,0.53,435,155,699,288,0.1595,205
F,495,0.4,155,0.6445,242,0.1325,205
M,0.44,355,125,0.4775,132,0.0815,0.19
M,0.54,435,0.18,996,0.3835,226,325
M,0.61,475,165,1116,428,0.2205,315
F,565,455,175,1013,342,207,0.35
M,0.6,495,195,1.0575,384,0.19,375
I,295,215,85,128,49,34,0.04
I,275,205,75,0.1105,45,0.0285,35
M,0.49,395,0.14,549,0.2215,0.1275,0.15
F,0.54,435,175,892,322,174,335
M,0.37,0.28,0.1,252,0.1065,0.0595,74
M,0.36,0.27,0.1,217,0.0885,0.0495,0.0715
F,0.47,0.36,0.13,472,182,114,0.15
I,165,0.12,0.03,0.0215,7,5,5
M,645,515,0.24,1.5415,471,369,535
M,0.55,0.41,125,0.7605,0.2505,0.1635,195
M,0.57,435,145,0.9055,0.3925,0.2355,275
F,0.63,485,0.19,1.2435,0.4635,0.3055,0.39
M,0.56,0.44,0.14,971,443,0.2045,265
M,595,455,195,1.3305,0.4595,0.3235,345
F,0.62,0.47,0.2,1.2255,381,0.27,435
M,0.63,485,175,1.3,0.4335,0.2945,0.46
I,0.45,355,0.11,0.4585,194,67,0.14
F,635,535,0.19,1242,576,0.2475,0.39
M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12
F,0.58,455,155,0.8365,315,0.1385,0.32
I,0.33,255,95,172,66,0.0255,0.06
I,265,0.21,0.06,0.0965,0.0425,22,0.03
I,0.19,145,0.04,38,0.0165,0.0065,15
I,265,205,0.07,0.1055,39,41,35
M,335,265,105,222,0.0935,56,75
I,355,275,0.09,251,97,53,0.08
M,0.51,0.4,0.13,0.6435,0.27,0.1665,205
F,0.4,325,0.12,0.3185,134,0.0565,95
I,0.3,0.22,0.08,121,0.0475,42,35
I,235,175,0.04,0.0705,0.0335,15,0.02
F,0.74,0.6,195,1974,598,0.4085,0.71
M,0.59,0.45,185,1283,473,276,425
M,0.62,475,185,1325,0.6045,325,0.33
M,575,455,145,1165,581,0.2275,0.3
F,0.62,0.51,205,1.3475,0.4775,0.2565,0.48
F,505,375,0.18,568,0.2325,0.1495,0.17
F,0.46,425,155,746,0.3005,152,0.24
I,0.34,0.26,0.08,0.2,0.08,0.0555,55
M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
F,0.61,495,185,1153,536,0.2905,245
F,585,0.45,0.17,0.8685,0.3325,0.1635,0.27
M,0.58,455,0.17,0.93,408,259,0.22
M,635,515,0.17,1275,509,286,0.34
M,0.7,0.58,205,2.13,0.7415,0.49,0.58
F,645,525,0.19,1.8085,0.7035,0.3885,395
M,745,585,215,2499,0.9265,472,0.7
F,685,545,0.18,1768,0.7495,392,485
M,605,0.49,0.18,1227,0.48,287,0.35
F,0.65,525,175,1.4225,0.61,0.2995,445
F,0.6,0.48,0.15,1029,0.4085,0.2705,295
M,0.63,515,0.16,1016,0.4215,244,355
M,0.58,465,145,887,0.4405,0.1655,265
F,0.58,455,0.12,1.0735,479,0.2735,265
M,0.63,0.49,0.18,1.13,458,0.2765,315
F,0.65,545,165,1566,0.6645,0.3455,415
F,0.66,565,195,1.7605,692,0.3265,0.5
F,0.68,0.58,0.2,1787,585,453,0.6
F,0.7,575,0.17,1.31,0.5095,314,0.42
M,685,0.52,0.15,1343,0.4635,292,0.4
F,675,545,195,1.7345,0.6845,0.3695,605
F,585,0.45,0.16,1077,0.4995,0.2875,0.25
F,0.61,495,185,1.1085,0.3705,0.3135,0.33
M,605,0.47,0.18,1.1405,0.3755,0.2805,385
M,535,0.42,145,791,0.33,189,0.25
M,0.47,375,0.12,0.5565,226,122,195
F,455,0.37,105,0.4925,216,0.1245,135
M,0.54,0.42,155,0.7385,0.3515,152,215
M,0.46,0.38,135,482,207,0.1225,145
M,0.49,0.42,125,609,239,0.1435,0.22
I,415,325,0.1,0.3215,0.1535,0.0595,105
M,475,375,125,593,277,115,0.18
I,365,295,95,0.25,0.1075,0.0545,0.08
I,0.39,0.31,0.1,302,116,64,115
F,0.5,395,0.14,0.7155,0.3165,176,0.24
M,535,0.44,0.15,0.6765,256,139,0.26
M,585,455,0.15,987,0.4355,0.2075,0.31
F,485,365,0.12,0.5885,0.27,131,175
M,515,455,135,0.7225,295,0.1625,235
F,515,415,0.14,0.6935,0.3115,152,0.2
I,0.44,345,0.12,365,0.1655,83,0.11
F,525,0.44,0.15,0.8425,0.3685,0.1985,0.24
M,0.45,355,115,479,0.2125,0.1045,0.15
M,555,0.45,145,915,0.4,246,285
M,0.57,0.44,95,827,0.3395,0.2215,235
M,0.59,0.5,165,1.1045,0.4565,0.2425,0.34
M,545,0.44,0.12,0.8565,0.3475,0.1715,0.24
F,605,495,0.17,1.2385,528,0.2465,0.39
F,0.62,0.47,0.14,1.0325,0.3605,224,0.36
F,0.63,0.5,0.17,1.3135,0.5595,267,0.4
M,0.63,515,165,1352,488,349,0.45
M,545,0.41,0.14,625,223,0.16,235
I,0.49,0.38,0.12,529,0.2165,139,155
F,0.49,0.39,135,0.5785,0.2465,123,0.2
I,0.29,225,0.07,101,36,0.0235,35
I,0.26,0.2,0.07,92,37,0.02,0.03
M,0.58,0.45,175,1068,425,203,0.32
F,0.61,485,165,1.0915,0.3935,0.2435,0.33
F,575,0.45,0.17,1.0475,0.3775,0.1705,385
F,0.57,0.45,175,0.9555,0.38,0.1665,295
M,0.6,0.47,155,1036,0.4375,196,325
I,0.44,345,0.1,366,122,0.0905,0.12
I,0.36,275,95,217,84,0.0435,0.09
I,385,305,95,252,0.0915,55,0.09
M,0.39,0.3,0.09,0.3055,143,0.0645,85
M,0.5,415,165,0.6885,249,138,0.25
I,335,0.26,0.1,192,0.0785,0.0585,0.07
F,505,425,0.14,0.85,275,0.1625,285
I,395,295,0.1,0.2715,134,0.0325,85
F,0.41,325,105,0.3635,159,77,0.12
F,0.56,455,0.19,714,283,129,275
M,565,435,185,0.9815,329,136,0.39
M,565,455,185,0.9265,354,0.1575,375
M,605,0.5,175,1098,0.4765,232,375
F,565,455,0.15,0.8205,365,159,0.26
M,725,565,215,1891,0.6975,0.4725,0.58
F,675,535,0.16,1.41,592,0.3175,0.42
F,565,0.49,155,0.9245,405,0.2195,255
F,645,0.55,175,1.2915,0.57,0.3045,0.33
M,575,0.47,0.14,0.8375,0.3485,0.1735,0.24
F,0.64,0.54,175,1221,0.51,259,0.39
I,0.36,0.28,105,199,0.0695,45,0.08
I,415,0.31,0.11,0.2965,123,57,0.0995
F,525,0.41,135,0.7085,293,0.1525,235
M,0.38,285,0.1,0.2665,115,61,75
I,255,195,0.07,0.0735,0.0255,0.02,25
F,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4
M,655,0.53,195,1388,567,0.2735,0.41
F,0.68,0.55,0.21,1.7445,0.5975,305,625
M,675,555,0.2,1.4385,545,0.2665,465
F,515,405,0.12,646,0.2895,0.1405,177
F,545,415,0.16,0.7715,272,0.1455,0.2765
F,465,0.35,115,421,0.1565,91,0.1345
M,665,0.54,175,1347,0.4955,254,415
M,735,0.59,225,1756,637,0.3405,0.58
M,0.66,545,185,1.32,0.5305,0.2635,455
F,0.7,585,185,1.8075,0.7055,0.3215,475
M,575,0.4,155,0.9325,0.3605,0.2445,0.3
M,0.57,465,125,849,0.3785,0.1765,0.24
M,0.63,0.48,145,1.0115,0.4235,237,305
M,0.55,0.45,0.13,0.92,378,0.2385,0.29
F,625,515,0.15,1.2415,0.5235,0.3065,0.36
F,0.57,455,165,1.0595,0.44,0.2195,285
M,0.59,455,145,1073,475,0.19,285
M,0.58,0.46,0.13,921,357,181,0.29
M,655,0.53,175,1.2635,486,0.2635,415
M,625,0.5,195,1369,0.5875,0.2185,0.37
F,0.64,0.52,175,1248,0.4245,0.2595,0.48
F,615,525,155,1.0385,427,0.2315,345
M,555,0.45,175,874,0.3275,202,305
F,0.62,0.52,225,1.1835,378,0.27,395
F,0.62,0.47,225,1115,378,0.2145,0.36
F,0.6,505,0.19,1129,0.4385,256,0.36
M,0.56,0.46,235,0.8395,0.3325,157,305
M,585,455,225,1055,0.3815,221,365
M,0.56,435,0.18,889,0.36,204,0.25
F,455,0.35,0.14,0.5185,221,0.1265,135
F,0.49,0.38,145,0.6725,249,181,0.21
M,0.31,0.22,85,146,61,0.0365,45
F,275,195,0.07,0.08,31,0.0215,25
M,0.27,195,0.08,0.1,0.0385,0.0195,0.03
M,0.28,0.2,0.08,0.0915,33,0.0215,0.03
M,325,0.23,0.09,147,0.06,34,45
I,365,0.26,115,218,0.0935,0.0445,0.07
M,0.2,0.14,55,35,0.0145,8,0.01
M,235,0.16,0.06,0.0545,0.0265,0.0095,15
M,175,125,0.04,24,0.0095,6,5
F,0.57,445,155,733,282,159,235
F,0.57,0.45,0.16,0.9715,0.3965,255,0.26
M,385,0.3,95,0.24,0.0885,59,85
F,0.46,355,0.13,458,192,0.1055,0.13
I,0.47,0.37,0.12,0.4705,0.1845,0.1055,155
F,435,335,0.11,0.38,0.1695,86,0.11
M,0.29,0.23,75,0.1165,43,0.0255,0.04
M,275,205,0.07,94,0.0335,0.02,0.0325
F,375,0.29,115,0.2705,93,66,0.0885
F,0.5,375,0.14,604,242,0.1415,179
F,0.44,355,115,415,0.1585,0.0925,131
M,0.42,325,115,0.2885,0.1,57,0.1135
M,445,0.35,115,0.3615,0.1565,0.0695,117
M,0.32,245,75,0.1555,0.0585,38,49
M,205,155,45,0.0425,17,0.0055,0.0155
F,565,0.45,0.16,795,0.3605,0.1555,0.23
I,555,425,0.18,875,0.3695,0.2005,255
I,615,0.49,155,0.9885,0.4145,195,345
I,0.48,0.37,0.12,514,0.2075,131,155
I,0.5,385,0.15,0.6265,0.2605,0.1665,0.16
I,525,405,0.15,795,0.3075,205,255
F,0.66,0.5,165,1.1905,0.4585,298,0.37
F,0.66,0.53,0.17,1326,519,0.2625,0.44
I,0.52,0.4,145,0.66,267,0.1055,0.22
F,0.44,0.34,105,364,148,0.0805,0.1175
I,515,0.4,0.12,659,0.2705,179,0.17
F,475,0.35,115,452,0.1715,92,155
F,545,415,0.15,0.7335,0.2795,163,0.2185
M,0.35,255,65,179,0.0705,0.0385,0.06
I,435,0.33,125,406,0.1685,0.1055,96
M,0.28,0.21,0.08,0.1085,41,0.0265,0.0345
F,0.41,0.32,115,387,165,0.1005,0.0985
I,0.45,0.35,0.14,474,0.21,109,0.1275
F,0.57,0.44,0.14,0.9535,0.3785,201,305
I,0.56,425,0.14,0.9175,0.4005,0.1975,0.26
F,585,435,175,982,0.4055,0.2495,0.27
I,0.55,425,0.15,806,376,171,245
F,645,525,0.19,1.4635,0.6615,0.3435,435
F,0.41,305,0.1,363,0.1735,65,0.11
F,405,0.31,0.12,0.3095,138,58,95
I,0.51,0.4,0.15,745,0.2865,0.1675,235
F,0.37,0.29,115,0.25,111,57,75
I,525,0.41,175,874,0.3585,207,205
F,0.66,0.52,0.18,1514,526,0.2975,0.42
M,535,0.42,0.15,0.6995,0.2575,153,0.24
F,0.55,0.43,0.14,0.7135,0.2565,186,225
I,605,0.47,0.14,939,0.3385,201,0.32
I,605,495,145,1054,369,0.2255,0.36
I,535,0.42,145,926,398,0.1965,0.25
F,385,315,0.11,286,0.1225,0.0635,0.0835
F,0.39,0.3,0.1,265,0.1075,0.06,0.0865
I,0.47,345,115,0.4885,0.2005,108,166
I,515,0.39,0.14,0.5555,0.2,0.1135,0.2235
M,345,0.27,0.09,195,78,0.0455,59
M,0.35,265,0.09,0.1775,0.0575,42,68
F,0.44,345,0.17,0.4085,0.15,0.0825,0.1515
M,325,0.24,75,155,0.0475,0.0355,0.06
I,0.45,0.35,145,525,0.2085,0.1,0.1655
M,415,345,135,0.3865,128,0.07,148
M,0.32,0.24,85,0.17,0.0655,47,49
M,0.31,225,75,0.1295,0.0455,0.0335,44
M,235,0.17,55,0.0515,18,0.0105,0.0195
M,345,255,0.08,169,0.06,0.0425,54
I,485,0.38,0.14,673,0.2175,0.13,195
F,0.5,385,105,498,0.1795,0.1095,0.17
I,465,0.36,105,498,214,116,0.14
F,0.38,305,95,0.2815,0.1255,0.0525,0.09
I,0.53,415,145,944,0.3845,185,265
I,475,365,115,0.49,223,0.1235,0.1335
F,0.43,0.34,0.12,391,0.1555,95,0.1405
I,0.47,0.36,0.13,0.5225,198,0.1065,165
M,355,265,0.09,168,0.05,41,63
M,0.38,235,0.1,258,0.1055,54,0.08
I,0.44,345,0.12,487,0.1965,108,0.16
M,325,0.24,85,173,0.0795,38,0.05
I,0.62,485,0.18,1.1785,0.4675,0.2655,0.39
F,0.59,0.45,0.16,0.9,358,156,315
M,0.33,215,75,0.1145,45,0.0265,35
M,0.48,375,145,777,216,0.13,0.17
I,0.46,0.35,0.12,0.4885,193,105,155
F,475,0.36,125,447,0.1695,81,0.14
I,0.47,0.35,0.13,466,0.1845,99,145
M,0.31,225,0.08,0.1345,54,24,0.05
F,0.37,0.28,0.11,0.2305,0.0945,0.0465,75
M,295,215,75,129,0.05,0.0295,0.04
F,555,435,165,0.97,336,0.2315,295
F,615,515,0.17,1.14,0.4305,0.2245,0.42
I,0.58,0.49,195,1.3165,0.5305,254,0.41
F,585,475,185,0.9585,0.4145,0.1615,0.33
I,0.65,525,0.18,1626,597,0.3445,0.53
F,0.38,305,105,281,0.1045,0.0615,0.09
I,0.45,355,0.12,412,0.1145,0.0665,0.16
F,395,295,95,0.2245,78,54,0.08
M,455,0.35,0.12,0.4835,0.1815,144,0.16
F,485,0.38,0.15,605,0.2155,0.14,0.18
M,0.55,425,155,0.9175,0.2775,243,335
M,475,385,145,0.6175,235,108,215
F,0.5,0.38,155,655,0.2405,143,205
F,0.53,0.41,165,0.8115,0.24,169,0.24
F,0.49,385,0.15,0.7865,241,0.14,0.24
F,0.52,395,0.18,0.64,158,0.11,245
M,0.54,415,145,0.74,0.2635,168,245
F,0.5,375,115,0.5945,185,148,0.19
F,0.45,0.38,165,0.8165,0.25,0.1915,265
I,0.37,275,0.1,0.2295,0.0885,0.0465,0.07
F,435,325,115,0.3915,154,94,0.12
M,535,405,185,0.8345,0.3175,0.1725,0.29
M,0.51,0.4,0.14,0.6515,0.2455,0.1665,185
M,565,0.44,185,909,344,0.2325,255
M,525,0.4,0.17,0.7305,279,0.2055,195
M,0.59,0.44,0.15,0.9555,366,0.2425,295
M,0.5,375,0.15,636,0.2535,145,0.19
I,255,0.19,75,0.0865,0.0345,0.0205,25
M,0.38,0.29,0.12,283,0.1175,0.0655,85
I,165,0.11,0.02,19,0.0065,0.0025,5
M,385,285,105,0.2905,0.1215,0.0685,0.0875
F,0.48,385,135,536,0.1895,142,173
F,445,0.33,105,0.4525,0.18,103,123
M,395,295,115,316,0.1205,0.0595,0.1105
M,415,325,0.14,417,0.1535,0.1015,144
M,315,0.25,0.09,203,0.0615,37,0.0795
M,0.36,295,0.13,0.2765,0.0895,57,0.1005
I,295,225,0.09,0.1105,0.0405,0.0245,32
I,325,0.25,0.08,176,0.0595,0.0355,63
M,375,0.3,0.1,0.2465,104,0.0475,83
I,0.28,205,55,0.1135,45,0.0275,0.0335
M,0.35,255,0.08,0.1915,0.08,0.0385,63
I,275,0.2,65,0.1035,0.0475,0.0205,0.03
I,0.25,0.19,0.06,0.0765,36,0.0115,0.0245
I,0.18,125,35,0.0265,0.0095,0.0055,0.0085
I,0.16,0.11,25,18,0.0065,0.0055,5
M,555,0.44,0.15,1092,416,212,0.4405
M,525,0.41,0.13,0.99,0.3865,243,295
M,465,0.36,0.08,488,191,125,155
M,0.4,305,85,297,108,0.0705,0.1
F,0.48,375,105,525,0.2185,0.1195,155
M,505,0.4,125,0.77,0.2735,159,255
M,0.52,0.4,0.12,823,298,0.1805,265
M,505,0.38,0.13,656,227,0.1785,0.22
M,525,425,0.12,0.8665,0.2825,176,0.29
M,0.51,0.39,125,0.6565,262,0.1835,175
F,0.52,405,125,0.6435,0.2415,0.1735,0.21
M,535,0.41,135,862,0.2855,0.1525,0.32
M,445,345,0.09,0.3795,143,74,125
M,0.53,0.44,205,835,0.32,0.2175,245
F,535,0.42,0.15,0.7365,0.2785,186,215
F,0.66,0.52,0.2,1676,673,0.4805,0.45
M,0.52,385,0.14,0.6595,0.2485,0.2035,0.16
M,535,0.42,0.13,0.8055,301,181,0.28
M,695,515,175,1.5165,578,0.4105,0.39
F,0.51,0.39,105,612,187,0.15,195
F,605,0.46,0.17,1122,347,0.3045,315
F,0.58,455,165,1.1365,369,0.3005,275
M,0.65,515,175,1.4805,0.5295,272,525
M,0.62,505,185,1.5275,0.69,368,0.35
M,615,525,155,1.1375,367,236,0.37
F,605,495,0.19,1437,469,0.2655,0.41
M,585,405,0.15,1.2565,435,202,325
F,0.55,0.44,155,946,313,0.1825,335
M,0.64,0.51,0.19,1613,0.6215,361,0.47
F,0.61,0.47,145,1153,403,296,0.32
F,0.59,445,0.13,1.1325,0.3825,234,0.32
M,345,0.27,95,197,0.0665,0.05,0.07
F,0.53,425,0.17,949,0.3485,0.2395,278
F,0.53,455,165,0.9805,0.3155,0.2815,0.2965
M,385,275,115,0.2685,0.0975,0.0825,85
M,455,0.34,135,462,0.1675,158,0.12
M,0.49,0.38,0.14,0.7605,245,167,185
M,0.53,0.41,165,732,189,0.17,0.31
M,505,385,145,0.6775,236,179,0.2
M,0.49,0.38,0.14,0.6385,0.2305,142,195
F,0.47,0.36,145,537,0.1725,0.1375,195
M,515,435,145,0.8815,292,206,255
I,385,0.28,125,244,102,38,85
I,215,155,0.06,0.0525,21,0.0165,15
F,515,0.39,0.13,0.5755,0.1975,0.13,0.1845
M,495,385,135,709,211,0.1375,262
F,0.6,465,165,0.8875,309,246,262
F,485,375,135,556,0.1925,0.1315,0.1685
M,575,0.45,165,0.9215,0.3275,225,256
M,0.58,465,0.16,1.0345,315,0.26,0.3635
M,515,405,145,695,215,0.1635,234
